Row,Div,Date,HomeTeam,AwayTeam,FTHG,FTAG,FTR,HTHG,HTAG,HTR,GBH,GBD,GBA,IWH,IWD,IWA,SYH,SYD,SYA,WHH,WHD,WHA
251,SP2,20/01/02,Elche,Leganes,1,0,H,1,0,H,1.98,2.8,3.65,2,2.8,3.1,1.91,2.88,4,1.95,2.9,3.6
252,SP2,20/01/02,Murcia,Ferrol,1,2,A,1,0,H,2.2,2.8,3.1,2.2,2.7,2.9,2.2,2.8,3.2,2.15,2.8,3.2
253,SP2,20/01/02,Numancia,Recreativo,0,0,D,0,0,D,2.4,2.75,2.8,2.3,2.7,2.7,2.3,2.7,3.1,2.25,2.7,3.1
254,SP2,20/01/02,Oviedo,Santander,0,0,D,0,0,D,2.08,2.75,3.42,2.2,2.7,2.9,2.2,2.75,3.25,2.2,2.7,3.2
255,SP2,26/01/02,Levante,Elche,1,1,D,1,0,H,2.1,2.8,3.3,2.1,2.8,3,2.2,2.8,3.2,2.1,2.9,3.15
256,SP2,26/01/02,Ferrol,Ath Madrid,1,1,D,1,1,D,2.9,2.9,2.25,2.8,2.8,2.2,3.2,3,2.1,2.9,2.9,2.25
257,SP2,27/01/02,Badajoz,Xerez,1,0,H,0,0,D,2.37,2.8,2.8,2.4,2.7,2.6,2.375,2.8,2.875,2.4,2.8,2.8
258,SP2,27/01/02,Burgos,Oviedo,1,1,D,0,1,A,2.35,2.75,2.9,2.3,2.7,2.7,2.3,2.8,3,2.25,2.8,3
259,SP2,27/01/02,Eibar,Poli Ejido,4,2,H,1,0,H,1.47,3.45,6.1,1.45,3.3,5.5,1.444,3.5,7,1.5,3.3,6
260,SP2,27/01/02,Jaen,Gimnastic,0,1,A,0,1,A,1.75,2.85,4.7,1.7,2.9,4,1.727,3.1,4.5,1.75,3,4.4
261,SP2,27/01/02,Leganes,Murcia,0,0,D,0,0,D,2.1,2.8,3.3,2.1,2.8,3,2,2.875,3.6,2.05,2.85,3.4
